year,temperature
1952,8.3
1953,10.9
1954,9.4
1955,8.1
1956,8.1
1957,7.7
1958,8.6
1959,9.1
1960,11
1961,10.1
1962,7.6
1963,8.8
1964,8.3
1965,7.2
1966,9.3
1967,8.8
1968,7.6
1969,10.5
1970,11
1971,8.9
1972,11.3
1973,10
1974,10.1
1975,6.4
1976,8.2
1977,8.4
1978,9.5
1979,9.9
1980,10.6
1981,7.6
1982,7.7
1983,8.1
1984,8.4
1985,9.7
1986,9.5
1987,7.3
1988,10.3
1989,9.6
1990,10.3
1991,9.8
1992,9
1993,9.1
1994,9.5
1995,8.7
1996,9.9
1997,10.5
1998,9.4
1999,9
2000,9
2001,9.7
2002,11.4
2003,10.7
2004,10.1
2005,10.8
2006,10.4
2007,10.3
2008,8.8
2009,9.8
2010,8.8
2011,10.8
2012,8.6
2013,11.1